Name,Team,Type,National Side,Born,Age,Bowling,Batting Style,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virat Kohli,RCB,Batsman ,India,"November 5, 1988 Delhi","33 Years, 4 Months, 10 Days",Right-arm medium,Right Handed,IPL,207,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,RCB,All-Rounder ,Australia,"October 14, 1988 Kew, Melbourne, Victoria","33 Years, 5 Months, 1 Days",Off break,Right Handed,IPL,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harshal Patel,RCB,All-Rounder ,India,"November 23, 1990 Sanand, Gujarat","31 Years, 3 Months, 22 Days",Right-arm medium,Right Handed,IPL,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanindu Hasaranga,RCB,All-Rounder ,Sri Lanka,"July 29, 1997 Galle","24 Years, 7 Months, 17 Days",Leg break,Right Handed,IPL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Hazlewood,RCB,Bowler ,Australia,"January 8, 1991 Tamworth, New South Wales, Australia","31 Years, 2 Months, 7 Days",Right-arm fast medium,Left Handed,IPL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faf du Plessis,RCB,Batsman ,South Africa,"July 13, 1984 Pretoria, Transvaal","37 Years, 8 Months, 2 Days",Leg break,Right Handed,IPL,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Siraj,RCB,Bowler ,India,"March 13, 1994 Hyderabad","28 Years, 0 Months, 2 Days",Right-arm medium fast,Right Handed,IPL,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinesh Karthik,RCB,Wicket-Keeper ,India,"June 1, 1985 Chennai, Tamil Nadu","36 Years, 9 Months, 14 Days",Off break,Right Handed,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anuj Rawat,RCB,Wicket-Keeper ,India,"October 17, 1999 Ram Nagar, Uttarakhand","22 Years, 5 Months, -1 Days",,Left Handed,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahbaz Ahmed,RCB,All-Rounder ,India,"December 12, 1994 Mewat, Haryana","27 Years, 3 Months, 3 Days",Slow left-arm orthodox,Left Handed,IPL,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Willey,RCB,All-Rounder ,England,"February 28, 1990 Northampton","32 Years, 0 Months, 15 Days",Left-arm fast medium,Left Handed,IPL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherfane Rutherford,RCB,All-Rounder ,West Indies,"August 15, 1998","23 Years, 7 Months, 0 Days",Right-arm fast medium,Left Handed,IPL,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahipal Lomror,RCB,All-Rounder ,India,"November 16, 1999 Nagaur, Rajasthan","22 Years, 4 Months, 0 Days",Slow left-arm orthodox,Left Handed,IPL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Allen,RCB,Batsman ,New Zealand,"April 22, 1999 Auckland","22 Years, 10 Months, 24 Days",,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
